metrica,tipo_operacion,variacion_medida
235,OR,36.58571428571429
301,OR,36.58571428571429
63,AND,15.342857142857143
292,AND,15.342857142857143
63,OR,15.871428571428572
292,OR,15.871428571428572
313,AND,23.885714285714286
67,AND,23.885714285714286
313,OR,27.32857142857143
67,OR,27.32857142857143
232,AND,1.0
237,AND,1.0
232,OR,27.142857142857142
237,OR,27.142857142857142
239,AND,1.0
213,AND,1.0
239,OR,22.042857142857144
213,OR,22.042857142857144
324,AND,23.885714285714286
115,AND,23.885714285714286
324,OR,20.585714285714285
115,OR,20.585714285714285
369,AND,1.0
245,AND,1.0
369,OR,33.885714285714286
245,OR,33.885714285714286
352,AND,1.0
301,AND,1.0
352,OR,38.58571428571429
301,OR,38.58571428571429
213,AND,10.9
194,AND,10.9
213,OR,33.48571428571429
194,OR,33.48571428571429
280,AND,1.0
150,AND,1.0
280,OR,25.714285714285715
150,OR,25.714285714285715
122,AND,12.414285714285715
267,AND,12.414285714285715
122,OR,22.32857142857143
267,OR,22.32857142857143
146,AND,1.0
341,AND,1.0
146,OR,30.67142857142857
341,OR,30.67142857142857
262,AND,1.0
343,AND,1.0
262,OR,29.12857142857143
343,OR,29.12857142857143
130,AND,3.4857142857142858
117,AND,3.4857142857142858
130,OR,23.114285714285714
117,OR,23.114285714285714
281,AND,22.6
53,AND,22.6
281,OR,32.98571428571429
53,OR,32.98571428571429
78,AND,12.914285714285715
203,AND,12.914285714285715
78,OR,27.3
203,OR,27.3
275,AND,1.0
249,AND,1.0
275,OR,35.07142857142857
249,OR,35.07142857142857
39,AND,14.985714285714286
337,AND,14.985714285714286
39,OR,11.185714285714285
337,OR,11.185714285714285
64,AND,12.414285714285715
187,AND,12.414285714285715
64,OR,16.357142857142858
187,OR,16.357142857142858
313,AND,8.17142857142857
113,AND,8.17142857142857
313,OR,23.985714285714284
113,OR,23.985714285714284
246,AND,5.5
68,AND,5.5
246,OR,28.4
68,OR,28.4
82,AND,3.357142857142857
32,AND,3.357142857142857
82,OR,13.542857142857143
32,OR,13.542857142857143
278,AND,17.542857142857144
126,AND,17.542857142857144
278,OR,22.742857142857144
126,OR,22.742857142857144
203,AND,12.32857142857143
93,AND,12.32857142857143
203,OR,12.871428571428572
93,OR,12.871428571428572
224,AND,1.0
296,AND,1.0
224,OR,29.142857142857142
296,OR,29.142857142857142
137,AND,1.0
294,AND,1.0
137,OR,20.67142857142857
294,OR,20.67142857142857
80,AND,9.042857142857143
109,AND,9.042857142857143
80,OR,29.414285714285715
109,OR,29.414285714285715
30,AND,21.757142857142856
100,AND,21.757142857142856
30,OR,17.214285714285715
100,OR,17.214285714285715
54,AND,18.414285714285715
49,AND,18.414285714285715
54,OR,21.1
49,OR,21.1
91,AND,20.542857142857144
115,AND,20.542857142857144
91,OR,25.914285714285715
115,OR,25.914285714285715
300,AND,9.442857142857143
350,AND,9.442857142857143
300,OR,30.014285714285716
350,OR,30.014285714285716
115,AND,8.228571428571428
338,AND,8.228571428571428
115,OR,19.428571428571427
338,OR,19.428571428571427
156,AND,1.0
190,AND,1.0
156,OR,16.15714285714286
190,OR,16.15714285714286
153,AND,25.642857142857142
143,AND,25.642857142857142
153,OR,40.871428571428574
143,OR,40.871428571428574
338,AND,19.228571428571428
71,AND,19.228571428571428
338,OR,16.542857142857144
71,OR,16.542857142857144
88,AND,12.028571428571428
244,AND,12.028571428571428
88,OR,35.18571428571428
244,OR,35.18571428571428
38,AND,1.0
